"Autonomous_region","State_2","Island","INE","Village","Web","Identificador","Name","Name_2","Length","Width","Occupation_level","Urbanization_level","Promenade","Sand_type","Surge","Nudism","Vegetation","Blue_flag","SOS","Disabled_access","Bus","Parking","Parking_security","Parking_Q","Toilets","Footbaths","Showers","Trash","Clean_service","Umbrelas_rent","Hammocks_rent","Tourism_office","Food_shop","Beverage_shop","Children_area","Sport_area","Diving","Surf","Coordenate_UTM_X","Coordenate_UTM_Y","Huso","Coordenada_geografica_Longitud","Coordenada_geografica_Latitud","Composition","Protected_area","Latitude","Longitude","Point"
"Andalucia","Almeria","",4003,"Adra","http://www.ayuntamientoadra.es",11,"San Nicolas","",600,35,"High","Urban","TRUE","Dark","Calm","FALSE","FALSE",TRUE,TRUE,TRUE,TRUE,TRUE,"","> 100",TRUE,TRUE,TRUE,"TRUE",TRUE,FALSE,FALSE,"TRUE",TRUE,TRUE,TRUE,TRUE,"FALSE",FALSE,498725.99,4066556.02,30,"03<U+222B> 00' 51,380'' W","36<U+222B> 44' 41,060'' N","Grave / Sand",FALSE,36.74408864,-3.014270647,"<p><strong>Beach name: </strong>San Nicolas<br><strong>Autonomous Comunity: </strong>Andalucia<br><strong>County: </strong>Adra<br><strong>Beach length: </strong>600 m<br><strong>Beach width: </strong>35 m</p>"
"Andalucia","Almeria","",4013,"Almeria","http://www.aytoalmeria.es",12,"Costacabana","",1200,30,"High","Urban","TRUE","Dark","Moderate swell / Windy","FALSE","FALSE",FALSE,TRUE,TRUE,TRUE,TRUE,"Non-guarded","> 50 & < 100",TRUE,TRUE,TRUE,"TRUE",TRUE,FALSE,FALSE,"FALSE",TRUE,TRUE,FALSE,TRUE,"FALSE",FALSE,555212,4076942,30,"02<U+222B> 22' 50,870'' W","36<U+222B> 50' 12,310'' N","Grave / Sand",FALSE,36.83610235,-2.380813863,"<p><strong>Beach name: </strong>Costacabana<br><strong>Autonomous Comunity: </strong>Andalucia<br><strong>County: </strong>Almeria<br><strong>Beach length: </strong>1200 m<br><strong>Beach width: </strong>30 m</p>"
"Andalucia","Almeria","",4013,"Almeria","http://www.aytoalmeria.es",13,"El Bobar","La Cañada",1300,15,"Low","Isolated","TRUE","Dark","Calm","FALSE","FALSE",FALSE,FALSE,TRUE,TRUE,TRUE,"Non-guarded","> 50 & < 100",FALSE,NA,FALSE,"FALSE",FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,552094,4074829,30,"02<U+222B> 24' 57,270'' W","36<U+222B> 49' 04,380'' N","Sand",FALSE,36.81723262,-2.415924396,"<p><strong>Beach name: </strong>El Bobar<br><strong>Autonomous Comunity: </strong>Andalucia<br><strong>County: </strong>Almeria<br><strong>Beach length: </strong>1300 m<br><strong>Beach width: </strong>15 m</p>"
"Andalucia","Almeria","",4013,"Almeria","http://www.aytoalmeria.es",14,"El Perdigal","Alquian",2450,30,"Low","Isolated","FALSE","Dark","Moderate swell / Windy","FALSE","TRUE",FALSE,FALSE,FALSE,TRUE,FALSE,"","",FALSE,NA,FALSE,"FALSE",FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,556222,4077413,30,"02<U+222B> 22' 09,970'' W","36<U+222B> 50' 27,380'' N","Sand",FALSE,36.8402884,-2.369452779,"<p><strong>Beach name: </strong>El Perdigal<br><strong>Autonomous Comunity: </strong>Andalucia<br><strong>County: </strong>Almeria<br><strong>Beach length: </strong>2450 m<br><strong>Beach width: </strong>30 m</p>"
"Andalucia","Almeria","",4013,"Almeria","http://www.aytoalmeria.es",15,"El Toyo","",1300,55,"Low","Urban","TRUE","Dark","Moderate swell / Windy","FALSE","FALSE",FALSE,TRUE,FALSE,TRUE,TRUE,"Non-guarded","> 100",TRUE,TRUE,TRUE,"TRUE",TRUE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,559865.208,4076981.707,30,"02<U+222B> 19' 43,005'' W","36<U+222B> 50' 12,581'' N","Grave / Sand",FALSE,36.836177,-2.32862952,"<p><strong>Beach name: </strong>El Toyo<br><strong>Autonomous Comunity: </strong>Andalucia<br><strong>County: </strong>Almeria<br><strong>Beach length: </strong>1300 m<br><strong>Beach width: </strong>55 m</p>"
"Andalucia","Almeria","",4013,"Almeria","http://www.aytoalmeria.es",16,"La Almadraba de Monteleva","",660,30,"Medium","Semiurban","FALSE","White","Moderate swell / Windy","FALSE","FALSE",FALSE,FALSE,TRUE,TRUE,TRUE,"Non-guarded","< 50",FALSE,FALSE,FALSE,"FALSE",TRUE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,569843.456,4067348.608,30,"02<U+222B> 13' 03,357'' W","36<U+222B> 44' 57,522'' N","Sand",TRUE,36.74866201,-2.217618742,"<p><strong>Beach name: </strong>La Almadraba de Monteleva<br><strong>Autonomous Comunity: </strong>Andalucia<br><strong>County: </strong>Almeria<br><strong>Beach length: </strong>660 m<br><strong>Beach width: </strong>30 m</p>"
"Andalucia","Almeria","",4013,"Almeria","http://www.aytoalmeria.es",17,"La Fabriquilla","",600,30,"Medium","Semiurban","FALSE","White","Heavy swell / Windy","FALSE","FALSE",FALSE,FALSE,TRUE,TRUE,TRUE,"Non-guarded","> 100",FALSE,FALSE,FALSE,"TRUE",TRUE,FALSE,FALSE,"FALSE",TRUE,TRUE,FALSE,FALSE,"FALSE",FALSE,570686.48,4066174.76,30,"02<U+222B> 12' 29,750'' W","36<U+222B> 44' 19,210'' N","Grave / Sand",TRUE,36.7380187,-2.208284757,"<p><strong>Beach name: </strong>La Fabriquilla<br><strong>Autonomous Comunity: </strong>Andalucia<br><strong>County: </strong>Almeria<br><strong>Beach length: </strong>600 m<br><strong>Beach width: </strong>30 m</p>"
"Andalucia","Almeria","",4013,"Almeria","http://www.aytoalmeria.es",18,"La Garrofa","Camping de La Garrofa",150,20,"Medium","Isolated","FALSE","","Calm","FALSE","FALSE",FALSE,FALSE,FALSE,TRUE,TRUE,"Non-guarded","< 50",FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,"TRUE",FALSE,543153.005,4075627.931,30,"02<U+222B> 30' 57,994'' W","36<U+222B> 49' 31,927'' N","Grave",FALSE,36.82488453,-2.516121514,"<p><strong>Beach name: </strong>La Garrofa<br><strong>Autonomous Comunity: </strong>Andalucia<br><strong>County: </strong>Almeria<br><strong>Beach length: </strong>150 m<br><strong>Beach width: </strong>20 m</p>"
"Andalucia","Almeria","",4013,"Almeria","http://www.aytoalmeria.es",19,"Las Amoladeras","",3750,100,"Low","Isolated","FALSE","Dark","Moderate swell / Windy","FALSE","FALSE",FALSE,FALSE,FALSE,TRUE,FALSE,"","",FALSE,FALSE,FALSE,"FALSE",TRUE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,564368.319,4074222.646,30,"02<U+222B> 16' 42,050'' W","36<U+222B> 48' 41,983'' N","Grave / Sand",TRUE,36.81101136,-2.278365553,"<p><strong>Beach name: </strong>Las Amoladeras<br><strong>Autonomous Comunity: </strong>Andalucia<br><strong>County: </strong>Almeria<br><strong>Beach length: </strong>3750 m<br><strong>Beach width: </strong>100 m</p>"
"Andalucia","Almeria","",4013,"Almeria","http://www.aytoalmeria.es",20,"Las Olas","",250,25,"Low","Semiurban","FALSE","Dark","Calm","FALSE","TRUE",FALSE,FALSE,FALSE,FALSE,TRUE,"Non-guarded","< 50",FALSE,FALSE,FALSE,"TRUE",FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,545673.014,4076302.895,30,"02<U+222B> 29' 16,123'' W","36<U+222B> 49' 53,404'' N","Grave / Sand",FALSE,36.83085042,-2.487824873,"<p><strong>Beach name: </strong>Las Olas<br><strong>Autonomous Comunity: </strong>Andalucia<br><strong>County: </strong>Almeria<br><strong>Beach length: </strong>250 m<br><strong>Beach width: </strong>25 m</p>"
"Andalucia","Almeria","",4013,"Almeria","http://www.aytoalmeria.es",21,"Las Salinas de Cabo de Gata","",2500,95,"Medium","Isolated","FALSE","White","Moderate swell / Windy","FALSE","TRUE",FALSE,TRUE,FALSE,TRUE,TRUE,"Non-guarded","> 100",FALSE,FALSE,FALSE,"TRUE",TRUE,FALSE,FALSE,"TRUE",TRUE,TRUE,FALSE,FALSE,"FALSE",FALSE,568575.433,4069184.605,30,"02<U+222B> 13' 53,895'' W","36<U+222B> 45' 57,434'' N","Sand",TRUE,36.76530394,-2.231656831,"<p><strong>Beach name: </strong>Las Salinas de Cabo de Gata<br><strong>Autonomous Comunity: </strong>Andalucia<br><strong>County: </strong>Almeria<br><strong>Beach length: </strong>2500 m<br><strong>Beach width: </strong>95 m</p>"
"Andalucia","Almeria","",4013,"Almeria","http://www.aytoalmeria.es",22,"Nueva Almeria","",1500,45,"High","Urban","TRUE","Dark","Calm","FALSE","FALSE",TRUE,TRUE,TRUE,TRUE,TRUE,"Non-guarded","> 100",TRUE,TRUE,TRUE,"TRUE",TRUE,TRUE,TRUE,"TRUE",TRUE,TRUE,TRUE,TRUE,"FALSE",FALSE,550179.031,4074755.825,30,"02<U+222B> 26' 14,585'' W","36<U+222B> 49' 02,378'' N","Sand",FALSE,36.81667654,-2.437398813,"<p><strong>Beach name: </strong>Nueva Almeria<br><strong>Autonomous Comunity: </strong>Andalucia<br><strong>County: </strong>Almeria<br><strong>Beach length: </strong>1500 m<br><strong>Beach width: </strong>45 m</p>"
"Andalucia","Almeria","",4013,"Almeria","http://www.aytoalmeria.es",23,"Retamar","",1250,45,"High","Urban","TRUE","Dark","Moderate swell / Windy","FALSE","FALSE",FALSE,TRUE,TRUE,TRUE,TRUE,"Non-guarded","> 100",TRUE,TRUE,TRUE,"TRUE",TRUE,FALSE,TRUE,"FALSE",TRUE,TRUE,FALSE,TRUE,"FALSE",FALSE,561102.236,4076442.688,30,"02<U+222B> 18' 53,221'' W","36<U+222B> 49' 54,804'' N","Grave / Sand",FALSE,36.83123919,-2.314800849,"<p><strong>Beach name: </strong>Retamar<br><strong>Autonomous Comunity: </strong>Andalucia<br><strong>County: </strong>Almeria<br><strong>Beach length: </strong>1250 m<br><strong>Beach width: </strong>45 m</p>"
"Andalucia","Almeria","",4013,"Almeria","http://www.aytoalmeria.es",24,"Zapillo","Las Conchas",1550,40,"High","Urban","TRUE","Dark","Calm","FALSE","FALSE",FALSE,TRUE,TRUE,TRUE,TRUE,"Non-guarded","> 100",TRUE,TRUE,TRUE,"TRUE",TRUE,TRUE,TRUE,"TRUE",TRUE,TRUE,TRUE,TRUE,"FALSE",TRUE,549080.025,4075674.844,30,"02<U+222B> 26' 58,729'' W","36<U+222B> 49' 32,409'' N","Sand",FALSE,36.82501836,-2.449660898,"<p><strong>Beach name: </strong>Zapillo<br><strong>Autonomous Comunity: </strong>Andalucia<br><strong>County: </strong>Almeria<br><strong>Beach length: </strong>1550 m<br><strong>Beach width: </strong>40 m</p>"
"Andalucia","Almeria","",4013,"Almeria","http://www.aytoalmeria.es",25,"San Miguel de Cabo de Gata","",2500,90,"High","Urban","TRUE","Dark","Moderate swell / Windy","FALSE","FALSE",TRUE,TRUE,TRUE,TRUE,TRUE,"Non-guarded","> 100",TRUE,TRUE,TRUE,"TRUE",TRUE,TRUE,TRUE,"TRUE",TRUE,TRUE,FALSE,TRUE,"FALSE",FALSE,567329.24,4070756.35,30,"02<U+222B> 14' 43,660'' W","36<U+222B> 46' 48,760'' N","Sand",TRUE,36.77956076,-2.245479678,"<p><strong>Beach name: </strong>San Miguel de Cabo de Gata<br><strong>Autonomous Comunity: </strong>Andalucia<br><strong>County: </strong>Almeria<br><strong>Beach length: </strong>2500 m<br><strong>Beach width: </strong>90 m</p>"
"Andalucia","Almeria","",4013,"Almeria","http://www.aytoalmeria.es",26,"San Telmo","",100,20,"Low","Isolated","FALSE","Dark","Calm","FALSE","FALSE",FALSE,FALSE,FALSE,FALSE,FALSE,"","",FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,545100.011,4075988.903,30,"02<U+222B> 29' 39,322'' W","36<U+222B> 49' 43,314'' N","Grave / Sand",FALSE,36.82804755,-2.494268904,"<p><strong>Beach name: </strong>San Telmo<br><strong>Autonomous Comunity: </strong>Andalucia<br><strong>County: </strong>Almeria<br><strong>Beach length: </strong>100 m<br><strong>Beach width: </strong>20 m</p>"
"Andalucia","Almeria","",4013,"Almeria","http://www.aytoalmeria.es",27,"Torregarcia","",1800,90,"Low","Isolated","FALSE","Dark","Moderate swell / Windy","FALSE","FALSE",FALSE,FALSE,FALSE,TRUE,TRUE,"Non-guarded","> 100",FALSE,FALSE,FALSE,"TRUE",TRUE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,562425.27,4075679.669,30,"02<U+222B> 18' 00,037'' W","36<U+222B> 49' 29,733'' N","Grave / Sand",TRUE,36.824275,-2.300028026,"<p><strong>Beach name: </strong>Torregarcia<br><strong>Autonomous Comunity: </strong>Andalucia<br><strong>County: </strong>Almeria<br><strong>Beach length: </strong>1800 m<br><strong>Beach width: </strong>90 m</p>"
"Andalucia","Almeria","",4029,"Berja","http://www.berja.es",28,"Balanegra","",2600,50,"Medium","Semiurban","TRUE","Dark","Moderate swell / Windy","FALSE","FALSE",FALSE,TRUE,TRUE,TRUE,TRUE,"Non-guarded","> 100",TRUE,TRUE,TRUE,"TRUE",TRUE,FALSE,FALSE,"TRUE",TRUE,TRUE,FALSE,TRUE,"FALSE",FALSE,508150,4066541,30,"02<U+222B> 54' 31,344'' W","36<U+222B> 44' 40,446'' N","Grave / Sand",FALSE,36.74391908,-2.908709115,"<p><strong>Beach name: </strong>Balanegra<br><strong>Autonomous Comunity: </strong>Andalucia<br><strong>County: </strong>Berja<br><strong>Beach length: </strong>2600 m<br><strong>Beach width: </strong>50 m</p>"
"Andalucia","Almeria","",4032,"Carboneras","http://www.carboneras.es",29,"El Algarrobico","",1350,37,"Low","Isolated","FALSE","Golden","Calm","FALSE","FALSE",FALSE,FALSE,FALSE,TRUE,TRUE,"Non-guarded","> 50 & < 100",FALSE,FALSE,FALSE,"TRUE",TRUE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,599892.288,4099205.725,30,"01<U+222B> 52' 36,610'' W","37<U+222B> 02' 01,487'' N","Grave / Sand",TRUE,37.03309102,-1.876864667,"<p><strong>Beach name: </strong>El Algarrobico<br><strong>Autonomous Comunity: </strong>Andalucia<br><strong>County: </strong>Carboneras<br><strong>Beach length: </strong>1350 m<br><strong>Beach width: </strong>37 m</p>"
"Andalucia","Almeria","",4032,"Carboneras","http://www.carboneras.es",30,"El Lancon","",1700,40,"High","Urban","TRUE","Dark","Calm","FALSE","FALSE",TRUE,TRUE,TRUE,TRUE,TRUE,"Non-guarded","< 50",TRUE,TRUE,TRUE,"TRUE",TRUE,FALSE,FALSE,"FALSE",TRUE,TRUE,TRUE,TRUE,"FALSE",FALSE,598834.43,4095814.68,30,"01<U+222B> 53' 21,020'' W","37<U+222B> 00' 11,870'' N","Sand",FALSE,37.00264111,-1.889201619,"<p><strong>Beach name: </strong>El Lancon<br><strong>Autonomous Comunity: </strong>Andalucia<br><strong>County: </strong>Carboneras<br><strong>Beach length: </strong>1700 m<br><strong>Beach width: </strong>40 m</p>"
"Andalucia","Almeria","",4032,"Carboneras","http://www.carboneras.es",31,"La Galera","",800,15,"Low","Isolated","FALSE","Dark","Moderate swell","FALSE","FALSE",FALSE,FALSE,FALSE,TRUE,FALSE,"","",FALSE,FALSE,FALSE,"TRUE",TRUE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,599670.285,4098119.743,30,"01<U+222B> 52' 46,113'' W","37<U+222B> 01' 26,337'' N","Stone / Grave / Sand",FALSE,37.02332721,-1.879504108,"<p><strong>Beach name: </strong>La Galera<br><strong>Autonomous Comunity: </strong>Andalucia<br><strong>County: </strong>Carboneras<br><strong>Beach length: </strong>800 m<br><strong>Beach width: </strong>15 m</p>"
"Andalucia","Almeria","",4032,"Carboneras","http://www.carboneras.es",32,"Las Martinicas","Las Marinicas",1330,75,"High","Semiurban","TRUE","Golden","Calm","FALSE","FALSE",TRUE,TRUE,TRUE,TRUE,TRUE,"Non-guarded","> 100",TRUE,TRUE,TRUE,"TRUE",TRUE,FALSE,FALSE,"TRUE",TRUE,FALSE,TRUE,TRUE,"FALSE",FALSE,597735.96,4093769.86,30,"01<U+222B> 54' 06,460'' W","36<U+222B> 59' 05,910'' N","Sand",FALSE,36.98432687,-1.901810271,"<p><strong>Beach name: </strong>Las Martinicas<br><strong>Autonomous Comunity: </strong>Andalucia<br><strong>County: </strong>Carboneras<br><strong>Beach length: </strong>1330 m<br><strong>Beach width: </strong>75 m</p>"
"Andalucia","Almeria","",4032,"Carboneras","http://www.carboneras.es",33,"Los Barquicos","Los Cocones",600,70,"Medium","Urban","TRUE","Golden","Calm","FALSE","FALSE",TRUE,TRUE,TRUE,TRUE,TRUE,"Non-guarded","> 100",TRUE,TRUE,TRUE,"TRUE",TRUE,FALSE,TRUE,"TRUE",FALSE,FALSE,FALSE,TRUE,"FALSE",FALSE,598279.279,4094829.8,30,"01<U+222B> 53' 43,945'' W","36<U+222B> 59' 40,120'' N","Sand",FALSE,36.99382303,-1.89556829,"<p><strong>Beach name: </strong>Los Barquicos<br><strong>Autonomous Comunity: </strong>Andalucia<br><strong>County: </strong>Carboneras<br><strong>Beach length: </strong>600 m<br><strong>Beach width: </strong>70 m</p>"
"Andalucia","Almeria","",4032,"Carboneras","http://www.carboneras.es",34,"Los Muertos","",1160,70,"Low","Isolated","FALSE","White","Moderate swell","FALSE","FALSE",FALSE,FALSE,FALSE,TRUE,TRUE,"Guarded","> 100",FALSE,NA,FALSE,"TRUE",TRUE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,598053.304,4090216.891,30,"01<U+222B> 53' 55,243'' W","36<U+222B> 57' 10,534'' N","Grave / Sand",TRUE,36.95227214,-1.898706545,"<p><strong>Beach name: </strong>Los Muertos<br><strong>Autonomous Comunity: </strong>Andalucia<br><strong>County: </strong>Carboneras<br><strong>Beach length: </strong>1160 m<br><strong>Beach width: </strong>70 m</p>"
"Andalucia","Almeria","",4035,"Cuevas del Almanzora","http://www.cuevasdelalmanzora.es/",35,"Cabezo Negro","",50,15,"Low","Isolated","FALSE","Dark","Moderate swell","FALSE","FALSE",FALSE,FALSE,FALSE,TRUE,FALSE,"","",FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,614537.757,4129555.578,30,"01<U+222B> 42' 27,185'' W","37<U+222B> 18' 20,099'' N","Grave / Sand",FALSE,37.30492179,-1.70758437,"<p><strong>Beach name: </strong>Cabezo Negro<br><strong>Autonomous Comunity: </strong>Andalucia<br><strong>County: </strong>Cuevas del Almanzora<br><strong>Beach length: </strong>50 m<br><strong>Beach width: </strong>15 m</p>"
